,lat,long,alcaldia,target
28026,19.418785999999997,-99.143365,CUAUHTEMOC,Si
28055,19.417720000000003,-99.14354,CUAUHTEMOC,Si
28146,19.41735,-99.15699000000001,CUAUHTEMOC,Si
28181,19.4182,-99.15972,CUAUHTEMOC,Si
28302,19.407329,-99.128012,CUAUHTEMOC,Si
28320,19.45634,-99.14499,CUAUHTEMOC,Si
28351,19.42661,-99.14202,CUAUHTEMOC,Si
28414,19.443620000000003,-99.13524,CUAUHTEMOC,Si
28675,19.407982,-99.146302,CUAUHTEMOC,Si
28713,19.424401,-99.12808100000001,CUAUHTEMOC,Si
28779,19.43864,-99.14016,CUAUHTEMOC,Si
28895,19.40588,-99.16847,CUAUHTEMOC,Si
28896,19.42354,-99.16584,CUAUHTEMOC,Si
29060,19.45479,-99.13833000000001,CUAUHTEMOC,Si
29064,19.407729999999997,-99.14635,CUAUHTEMOC,Si
29068,19.41539,-99.14652,CUAUHTEMOC,Si
29120,19.436834,-99.154232,CUAUHTEMOC,Si
29167,19.421229999999998,-99.15396,CUAUHTEMOC,Si
29210,19.440170000000002,-99.1251,CUAUHTEMOC,Si
29241,19.441879999999998,-99.16044000000001,CUAUHTEMOC,Si
29255,19.408392000000003,-99.144385,CUAUHTEMOC,Si
29290,19.42403,-99.16123,CUAUHTEMOC,Si
29306,19.40926,-99.16753,CUAUHTEMOC,Si
29310,19.419220000000003,-99.17756,CUAUHTEMOC,Si
29366,19.435570000000002,-99.14978,CUAUHTEMOC,Si
29383,19.43978,-99.15581,CUAUHTEMOC,Si
29395,19.45721,-99.14869,CUAUHTEMOC,Si
29490,19.40757,-99.13956,CUAUHTEMOC,Si
29612,19.437260000000002,-99.15066,CUAUHTEMOC,Si
29833,19.45148,-99.12501,CUAUHTEMOC,Si
29912,19.44112,-99.14341,CUAUHTEMOC,Si
29954,19.41751,-99.16414,CUAUHTEMOC,Si
29988,19.4389,-99.15326,CUAUHTEMOC,Si
29992,19.43555,-99.14905,CUAUHTEMOC,Si
30034,19.409879999999998,-99.14434,CUAUHTEMOC,Si
30048,19.42124,-99.16512,CUAUHTEMOC,Si
30056,19.41068,-99.16594,CUAUHTEMOC,Si
30057,19.422220000000003,-99.16329,CUAUHTEMOC,Si
30087,19.41615,-99.13481999999999,CUAUHTEMOC,Si
30190,19.4229,-99.16557,CUAUHTEMOC,Si
30278,19.42938,-99.17365,CUAUHTEMOC,Si
30446,19.4311,-99.17267,CUAUHTEMOC,Si
30447,19.419320000000003,-99.16963,CUAUHTEMOC,Si
30449,19.44237,-99.15236999999999,CUAUHTEMOC,Si
30467,19.42726,-99.14611,CUAUHTEMOC,Si
30468,19.45726,-99.14888,CUAUHTEMOC,Si
30498,19.43538,-99.14966,CUAUHTEMOC,Si
30520,19.425079999999998,-99.1344,CUAUHTEMOC,Si
30537,19.42429,-99.15385,CUAUHTEMOC,Si
30577,19.42361,-99.131,CUAUHTEMOC,Si
30578,19.43176,-99.15939,CUAUHTEMOC,Si
30667,19.4325,-99.13846,CUAUHTEMOC,Si
30689,19.43104,-99.16353000000001,CUAUHTEMOC,Si
30726,19.44098,-99.13975,CUAUHTEMOC,Si
30777,19.417720000000003,-99.14354,CUAUHTEMOC,Si
30794,19.43485,-99.16592,CUAUHTEMOC,Si
32525,19.450475,-99.155989,CUAUHTEMOC,Si
32544,19.428816,-99.130545,CUAUHTEMOC,Si
32625,19.424954999999997,-99.157361,CUAUHTEMOC,Si
32639,19.439162,-99.153316,CUAUHTEMOC,Si
32659,19.437404,-99.13150300000001,CUAUHTEMOC,Si
32705,19.406805,-99.15069799999999,CUAUHTEMOC,Si
32781,19.416273999999998,-99.169608,CUAUHTEMOC,Si
32810,19.415974,-99.143734,CUAUHTEMOC,Si
32824,19.407760999999997,-99.175088,CUAUHTEMOC,Si
32963,19.435673,-99.138033,CUAUHTEMOC,Si
32989,19.457469,-99.14978,CUAUHTEMOC,Si
33037,19.407303,-99.142229,CUAUHTEMOC,Si
33053,19.4306,-99.15991899999999,CUAUHTEMOC,Si
33129,19.44984,-99.16354,CUAUHTEMOC,Si
33170,19.430208,-99.161799,CUAUHTEMOC,Si
33171,19.411757,-99.154877,CUAUHTEMOC,Si
33178,19.430341000000002,-99.141452,CUAUHTEMOC,Si
33241,19.434879000000002,-99.144789,CUAUHTEMOC,Si
33327,19.433349,-99.150599,CUAUHTEMOC,Si
33331,19.425716,-99.12682099999999,CUAUHTEMOC,Si
33406,19.437689000000002,-99.13353599999999,CUAUHTEMOC,Si
33408,19.423103,-99.128222,CUAUHTEMOC,Si
33432,19.42989,-99.142549,CUAUHTEMOC,Si
33450,19.423729,-99.162349,CUAUHTEMOC,Si
33462,19.42599,-99.133045,CUAUHTEMOC,Si
33581,19.407819,-99.14454,CUAUHTEMOC,Si
33592,19.40164,-99.16981899999999,CUAUHTEMOC,Si
33595,19.449948000000003,-99.138419,CUAUHTEMOC,Si
33670,19.42709,-99.16806899999999,CUAUHTEMOC,Si
33685,19.433243,-99.154258,CUAUHTEMOC,Si
33696,19.444339000000003,-99.147549,CUAUHTEMOC,Si
33708,19.431379,-99.15798000000001,CUAUHTEMOC,Si
33747,19.427509,-99.16569,CUAUHTEMOC,Si
33754,19.44836,-99.13538,CUAUHTEMOC,Si
