long,lat,prob_1,color
-99.1672,19.42698,0.274246915,0.315
-99.1672364,19.4271429,0.274246915,0.315
-99.163931,19.4286785,0.286079545,0.315
-99.1635919,19.428612,0.286079545,0.315
-99.1634294,19.4283025,0.286079545,0.315
-99.1632187,19.4279023,0.274246915,0.315
-99.1628186,19.4271394,0.274246915,0.315
-99.162325,19.4262387,0.274246915,0.315
-99.1620782,19.4258037,0.274246915,0.315
-99.1620014,19.4256494,0.286079545,0.315
-99.1618598,19.4253583,0.286079545,0.315
-99.1614216,19.4244864,0.286079545,0.315
-99.1613329,19.4243056,0.286079545,0.315
-99.1611934,19.4240247,0.274246915,0.315
-99.1599918,19.4242927,0.274246915,0.315
-99.1592956,19.4245211,0.274246915,0.315
-99.1588309,19.4246281,0.274246915,0.315
-99.1580861,19.4247992,0.274246915,0.315
-99.1573336,19.424974,0.274246915,0.315
-99.1564019,19.4251824,0.274246915,0.315
-99.156211,19.4252315,0.274246915,0.315
-99.1552336,19.4254561,0.286079545,0.315
-99.1537268,19.4258059,0.286079545,0.315
-99.1525228,19.4258094,0.274246915,0.315
-99.1511293,19.425721,0.274246915,0.315
-99.1505181,19.4256832,0.274246915,0.315
-99.1492963,19.4256043,0.274246915,0.315
-99.1492302,19.4255976,0.274246915,0.315
-99.1474154,19.4254475,0.286079545,0.315
-99.1464494,19.4253214,0.286079545,0.315
-99.1447649,19.4250886,0.274246915,0.315
-99.1433763,19.4249148,0.274246915,0.315
-99.1425258,19.4248083,0.274246915,0.315
-99.1423751,19.4254007,0.274246915,0.315
-99.1422213,19.4259854,0.286079545,0.315
-99.1420847,19.4265761,0.286079545,0.315
-99.1419962,19.4269327,0.274246915,0.315
-99.1418929,19.4274486,0.274246915,0.315
-99.140154,19.4272855,0.274246915,0.315
-99.1396173,19.4272362,0.274246915,0.315
-99.1393008,19.4272071,0.274246915,0.315
-99.1394028,19.4265396,0.274246915,0.315
-99.13913,19.42651,0.278360837,0.315
