long,lat,prob_1,color
-99.1672,19.42698,0.274246915,0.275
-99.1668432,19.4267107,0.274246915,0.275
-99.1665455,19.4271008,0.286079545,0.275
-99.1661483,19.4272816,0.286079545,0.275
-99.1657198,19.4274766,0.286079545,0.275
-99.1648234,19.4278953,0.274246915,0.275
-99.1642028,19.4281797,0.274246915,0.275
-99.1634294,19.4283025,0.274246915,0.275
-99.1634095,19.4282646,0.274246915,0.275
-99.1632187,19.4279023,0.286079545,0.275
-99.1628186,19.4271394,0.286079545,0.275
-99.162325,19.4262387,0.286079545,0.275
-99.1620782,19.4258037,0.286079545,0.275
-99.1620239,19.425693,0.274246915,0.275
-99.1620014,19.4256494,0.274246915,0.275
-99.1619085,19.4254509,0.274246915,0.275
-99.1618598,19.4253583,0.274246915,0.275
-99.1614216,19.4244864,0.274246915,0.275
-99.1613329,19.4243056,0.274246915,0.275
-99.1611934,19.4240247,0.274246915,0.275
-99.1599918,19.4242927,0.274246915,0.275
-99.1592956,19.4245211,0.286079545,0.275
-99.1588309,19.4246281,0.286079545,0.275
-99.1587503,19.4246467,0.274246915,0.275
-99.1580861,19.4247992,0.274246915,0.275
-99.1576038,19.4249114,0.274246915,0.275
-99.1573336,19.424974,0.274246915,0.275
-99.1569036,19.4250702,0.274246915,0.275
-99.1564019,19.4251824,0.286079545,0.275
-99.156211,19.4252315,0.286079545,0.275
-99.1552336,19.4254561,0.274246915,0.275
-99.1542429,19.4256847,0.274246915,0.275
-99.1537268,19.4258059,0.274246915,0.275
-99.1535349,19.4258199,0.274246915,0.275
-99.1525228,19.4258094,0.286079545,0.275
-99.1511293,19.425721,0.286079545,0.275
-99.1505181,19.4256832,0.274246915,0.275
-99.1493554,19.4256084,0.274246915,0.275
-99.1492963,19.4256043,0.274246915,0.275
-99.1492302,19.4255976,0.274246915,0.275
-99.1474154,19.4254475,0.274246915,0.275
-99.1464494,19.4253214,0.274246915,0.275
-99.1447649,19.4250886,0.278360837,0.275
-99.1433763,19.4249148,0.278360837,0.275
-99.1425916,19.4248165,0.278360837,0.275
-99.1425258,19.4248083,0.278360837,0.275
-99.1424865,19.4248034,0.278360837,0.275
-99.1397371,19.4244591,0.278360837,0.275
-99.1382232,19.4242755,0.278360837,0.275
-99.1375941,19.4241992,0.278360837,0.275
-99.1374563,19.4253245,0.278360837,0.275
-99.137325,19.4262726,0.278360837,0.275
-99.1373142,19.4263514,0.278360837,0.275
-99.13913,19.42651,0.278360837,0.275
